I0510 11:32:39.348430  2836 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:39.351737  2842 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._a from 192.168.1.5:40714: '200 OK' after 8.24397ms
I0510 11:32:49.366834  2840 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:49.369113  2837 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._c from 192.168.1.5:40714: '200 OK' after 6.5111ms
I0510 11:32:59.393330  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:32:59.394794  2839 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._e from 192.168.1.5:40714: '200 OK' after 6.5961ms
I0510 11:33:09.408512  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:09.410050  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._g from 192.168.1.5:40714: '200 OK' after 6.77811ms
I0510 11:33:19.421695  2837 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:19.424413  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._i from 192.168.1.5:40714: '200 OK' after 6.73997ms
I0510 11:33:23.947892  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:23.949126  2840 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._0 from 192.168.1.5:40964: '200 OK' after 2.9719ms
I0510 11:33:33.970052  2835 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:33.971765  2838 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._2 from 192.168.1.5:40714: '200 OK' after 4.23987ms
I0510 11:33:38.036175  2836 http.cpp:1105] HTTP GET for /master/roles?jsonp=angular.callbacks._4 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:40.550650  2839 http.cpp:1105] HTTP GET for /master/maintenance/schedule?jsonp=angular.callbacks._5 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:43.984771  2842 http.cpp:1105] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714 with User-Agent='Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0'
I0510 11:33:43.987354  2836 http.cpp:1122] HTTP GET for /master/state?jsonp=angular.callbacks._6 from 192.168.1.5:40714: '200 OK' after 7.05613ms
